blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,Location 1,noticeDate
0411 032,715 N FREMONT AVE,UPTON,11,CENTRAL,"(39.297352225099999, -76.633165957100005)",02/15/2007
1643 045,626 N KENWOOD AVE,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2984903145, -76.578271957499993)",09/24/2012
0338 012,1722 DIVISION ST,UPTON,11,CENTRAL,"(39.3045601683, -76.634182711799994)",12/16/2009
0072 061,901 MCKEAN AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.299130126000001, -76.646528911100006)",12/20/2010
3003 016,3030 W NORTH AVE,WALBROOK,7,SOUTHWESTERN,"(39.309302887000001, -76.668516469799997)",11/08/2004
0089 021,817 N CALHOUN ST,HARLEM PARK,9,WESTERN,"(39.298455154800003, -76.639819142299999)",02/04/2013
6277A041,12 S CONKLING ST,BALTIMORE HIGHLANDS,1,SOUTHEASTERN,"(39.291987717399998, -76.567721873099998)",12/12/2011
1639 037,612 N MONTFORD AVE,MCELDERRY PARK,13,SOUTHEASTERN,"(39.298239103599997, -76.583936959400006)",07/25/2013
2402 026,1824 ASHBURTON ST,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,"(39.3087295821, -76.662514140100001)",03/12/2009
5198 034,4606 CRADDOCK AVE,KENILWORTH PARK,4,NORTHERN,"(39.346672164499999, -76.601718590700003)",09/04/2012
0162 025,1947 PENROSE AVE,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2910266425, -76.648694115400005)",09/19/2005
6304 021,3810 CLAREMONT ST,HIGHLANDTOWN,2,SOUTHEASTERN,"(39.289738356900003, -76.564633227399995)",07/19/2013
0098 023,718 N GILMOR ST,HARLEM PARK,9,WESTERN,"(39.2970575748, -76.643136142200007)",06/22/2012
1878 035,2806 DILLON ST,CANTON,1,SOUTHEASTERN,"(39.281347056500003, -76.576340216099993)",08/16/2013
0534 007,13 W MOUNT VERNON PL,MOUNT VERNON,11,CENTRAL,"(39.297032319800003, -76.616728047899997)",09/13/2010
0778 027,1354 CARROLL ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.279193315400001, -76.635431413999996)",08/13/2013
0148 018,1816 W SARATOGA ST,FRANKLIN SQUARE,9,WESTERN,"(39.292195032800002, -76.645941671900005)",01/06/2012
0300C088,1536 N WOODYEAR ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3066385152, -76.641194697900005)",01/08/2008
0062 032,1035 N GILMOR ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3009091809, -76.642785549999999)",12/07/2004
0118 056,528 N PAYSON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2943752694, -76.649255374500001)",08/14/2012
0339 005,1708 DRUID HILL AVE,UPTON,11,CENTRAL,"(39.305190951699998, -76.632897429799996)",05/22/2007
2154 013,2306 W FAYETTE ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.289455707599998, -76.653237066900004)",07/26/2011
4620 079,3333 WOODLAND AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.343594387800003, -76.672550318000006)",06/19/2008
7483 040,2512 S PACA ST,MOUNT WINANS,10,SOUTHERN,"(39.262895688100002, -76.6457883928)",10/24/2007
2545 004,222 S AUGUSTA AVE,IRVINGTON,8,SOUTHWESTERN,"(39.281923857000002, -76.685038732099997)",04/07/2006
0148 048,1819 W MULBERRY ST,FRANKLIN SQUARE,9,WESTERN,"(39.2927563139, -76.646307937499998)",02/18/2011
2408 050,1409 N DUKELAND ST,NORTHWEST COMMUNITY ACTION,9,SOUTHWESTERN,"(39.304054876099997, -76.663434720500007)",04/08/2011
0017 046,1530 BAKER ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.306932340300001, -76.643161106500003)",12/27/2012
0469 014,829 EDMONDSON AVE,UPTON,11,CENTRAL,"(39.295902855100003, -76.6318919446)",10/24/2008
3445 050,804 RESERVOIR ST,RESERVOIR HILL,7,CENTRAL,"(39.312902846299998, -76.632185582800005)",03/20/2013
3937 003,2876 HARFORD ROAD,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.322908657200003, -76.588977468699994)",04/23/2010
0396 036,1331 DIVISION ST,UPTON,11,CENTRAL,"(39.301791511799998, -76.629989672199997)",06/24/2011
1590 014,927 N PATTERSON PARK AVE,MILTON-MONTFORD,13,EASTERN,"(39.301469166700002, -76.585043703400004)",02/07/2006
4552 104,3405 PATON AVE,ARLINGTON,5,NORTHWESTERN,"(39.3486833073, -76.677602166599996)",02/08/2012
4577A004,3620 W GARRISON AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.344813913700001, -76.678232825600006)",05/30/2008
0275 003,304 S FULTON AVE,CARROLLTON RIDGE,9,SOUTHERN,"(39.2841135448, -76.645178327500005)",06/07/2007
0082 073,806 N BRICE ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.297978030899998, -76.650122461099997)",10/26/2011
0279 092,314 S PARRISH ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.283901708000002, -76.641598986600002)",03/05/2008
7363 018A,1518 CHESAPEAKE AVE,FAIRFIELD AREA,10,SOUTHERN,"(39.236594638, -76.581637962000002)",11/30/2010
4579 031,3510 W GARRISON AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.345566118199997, -76.677059974000002)",02/15/2005
2142 021,2638 SAINT BENEDICT ST,MILLHILL,9,SOUTHWESTERN,"(39.279267596099999, -76.657820699799998)",04/03/2007
4002 035,1915 HOMEWOOD AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.312287341500003, -76.606871887500006)",02/12/2008
4022 008,2115 HOMEWOOD AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.313812872, -76.606953712199996)",06/08/2007
0377 015,1430 MCCULLOH ST,UPTON,11,CENTRAL,"(39.303800967699999, -76.629775483700001)",08/08/2013
2171 060,2516 HOLLINS ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.286914424700001, -76.656929042900003)",08/05/2012
0184 021,110 N CARROLLTON AVE,POPPLETON,9,WESTERN,"(39.290484915299999, -76.637105543600001)",03/09/2010
1587 110,914 N CASTLE ST,MIDDLE EAST,13,EASTERN,"(39.3012734271, -76.589103977600004)",06/22/2012
1553 084,2227 HENNEMAN AVE,MIDDLE EAST,13,EASTERN,"(39.303956530400001, -76.586027882699995)",03/16/2010
4164A088,1690 DARLEY AVE,DARLEY PARK,12,EASTERN,"(39.314883469400002, -76.593882621099993)",01/03/2005
7480 021,2605 PIERPONT ST,MOUNT WINANS,10,SOUTHERN,"(39.259962625100002, -76.643399416299999)",11/05/2004
1484 041,1512 N MONTFORD AVE,BROADWAY EAST,13,EASTERN,"(39.308436126399997, -76.584578039199997)",10/26/2010
1611 022,828 N KENWOOD AVE,MADISON-EASTEND,13,EASTERN,"(39.300698635700002, -76.578416924300001)",07/08/2011
0175 100,2108 W FAYETTE ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.289542271199998, -76.650485942499998)",07/14/2010
0181 009,1517 W LEXINGTON ST,FRANKLIN SQUARE,9,WESTERN,"(39.2904306195, -76.6417628138)",08/06/2009
0169 037,209 N CAREY ST,POPPLETON,9,WESTERN,"(39.291188597900003, -76.637980164699997)",11/05/2004
2718 042,4022 BELLE AVE,DORCHESTER,6,NORTHWESTERN,"(39.333507019300001, -76.685788669100006)",04/23/2010
4169 069,2138 E NORTH AVE,SOUTH CLIFTON PARK,12,EASTERN,"(39.312679475700001, -76.587705241099997)",10/27/2011
2201 032,2316 LAURETTA AVE,ROSEMONT HOMEOWNERS/TENANTS,9,WESTERN,"(39.294292491, -76.653742290599993)",08/28/2009
0105 009,610 N PULASKI ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.295624226800001, -76.650751670399998)",05/04/2010
2848 008A,2916 CHELSEA TERR,WINDSOR HILLS,6,NORTHWESTERN,"(39.321237338899998, -76.682125585999998)",08/14/2006
4593 009,5017 CHALGROVE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.349629956999998, -76.670322186099995)",03/21/2012
3410 014,2519 FRANCIS ST,PENN NORTH,7,WESTERN,"(39.313277683099997, -76.642132563000004)",11/16/2006
0095 077,703 APPLETON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.296758673100001, -76.648041897400006)",03/24/2011
0064 010,1318 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.300356626800003, -76.639356140999993)",08/04/2009
1516 025,1328 N WASHINGTON ST,BROADWAY EAST,13,EASTERN,"(39.3061076722, -76.590297520099995)",01/18/2008
1676 066,2804 ORLEANS ST,MCELDERRY PARK,13,SOUTHEASTERN,"(39.296002482799999, -76.577334946500002)",01/06/2010
1121 030,1543 ENSOR ST,OLIVER,12,EASTERN,"(39.307959284900001, -76.603690935900005)",03/18/2011
0414 062,541 W LAFAYETTE AVE,UPTON,11,CENTRAL,"(39.301464142599997, -76.630939063699998)",01/07/2009
7427 009,2128 ANNAPOLIS ROAD,WESTPORT,10,SOUTHERN,"(39.264991580900002, -76.633076037899997)",09/28/2011
3.35E+11,4215 PIMLICO ROAD,GREENSPRING,6,NORTHERN,"(39.337956888699999, -76.662780881700002)",10/31/2008
0243 003,1813 W LOMBARD ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.286011140399999, -76.645758888200007)",12/10/2012
1516 027,1324 N WASHINGTON ST,BROADWAY EAST,13,EASTERN,"(39.306041223800001, -76.590291950299999)",04/15/2008
1587 097,2010 ASHLAND AVE,MIDDLE EAST,13,EASTERN,"(39.3008847531, -76.589329271300002)",12/08/2010
0392 009,1316 MYRTLE AVE,UPTON,11,CENTRAL,"(39.299059490399998, -76.633054079299995)",12/28/2009
0390 024,1814 N CALVERT ST,GREENMOUNT WEST,12,CENTRAL,"(39.310326634600003, -76.613984531100002)",09/19/2007
0304 027,2235 DRUID HILL AVE,DRUID HEIGHTS,7,CENTRAL,"(39.309806222900001, -76.637868021900005)",01/17/2008
1458 046,1706 N WASHINGTON ST,BROADWAY EAST,12,EASTERN,"(39.3099908732, -76.590530766399993)",05/07/2009
0767 077,1118 S CAREY ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.280938768200002, -76.636098285599999)",09/24/2013
5985 030,4305 FRANKFORD AVE,FRANKFORD,2,NORTHEASTERN,"(39.3366209247, -76.550641424399998)",06/09/2011
0235 005,1009 HOLLINS ST,HOLLINS MARKET,9,SOUTHERN,"(39.287559852000001, -76.634043301299997)",11/21/2000
2170A033,2564 W FAIRMOUNT AVE,SHIPLEY HILL,9,SOUTHWESTERN,"(39.288457787500001, -76.658258068500004)",07/05/2007
1132 032,1437 HOLBROOK ST,OLIVER,12,EASTERN,"(39.307066500799998, -76.602900642899996)",11/10/2011
5165 008H,532 BEAUMONT AVE,WINSTON-GOVANS,4,NORTHERN,"(39.351774442200004, -76.607386193099998)",03/23/2007
3196C019,3825 BEEHLER AVE,LUCILLE PARK,6,NORTHWESTERN,"(39.340590397, -76.675976519700001)",11/14/2008
3208 026,1905 N MONROE ST,MONDAWMIN,7,WESTERN,"(39.310296017600002, -76.647923331399994)",02/27/2009
3301 090,3435 DUPONT AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.341249537499998, -76.671880874600006)",11/08/2005
3962 029,1647 CHILTON ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.327312223900002, -76.592208336300004)",11/18/2011
0200 042,1085 W FAYETTE ST,POPPLETON,9,WESTERN,"(39.289570613599999, -76.6362700265)",11/16/2005
0063 011,1420 MOSHER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.300262986, -76.640786958899994)",04/22/2013
1108 029,1515 E LAFAYETTE AVE,OLIVER,12,EASTERN,"(39.310361772699999, -76.597427206899994)",10/15/2007
4003 018,1904 CECIL AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.312161134900002, -76.605476913100006)",07/21/2008
2404 044,1621 ASHBURTON ST,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,"(39.3066413504, -76.661743852800001)",05/21/2010
2377C083,2745 HARLEM AVE,MOSHER,9,WESTERN,"(39.295338383400001, -76.662849597499999)",10/11/2007
7443 013,2228 ANNAPOLIS ROAD,WESTPORT,10,SOUTHERN,"(39.263985857999998, -76.633715297899997)",04/13/2011
1099B122,1807 AIKEN ST,OLIVER,12,EASTERN,"(39.310850075200001, -76.600527923100003)",10/26/2006
7463 037,2445 WESTPORT ST,WESTPORT,10,SOUTHERN,"(39.261238627399997, -76.6367220076)",05/13/2004
4605A011A,4947 EDGEMERE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3453713858, -76.674628057000007)",05/21/2009
2205 063,2427 LAURETTA AVE,ROSEMONT HOMEOWNERS/TENANTS,9,WESTERN,"(39.293873544599997, -76.655534027900003)",12/20/2011
8142 149,4709 WILLISTON ST,BEECHFIELD,8,SOUTHWESTERN,"(39.274235590799996, -76.695566646200007)",10/08/2013
4175A003,1940 BELAIR ROAD,SOUTH CLIFTON PARK,12,EASTERN,"(39.313912798300002, -76.583705103400007)",12/23/2008
0411 017,713 W LANVALE ST,UPTON,11,CENTRAL,"(39.298525159599997, -76.632612777399999)",01/09/2008
0252 010,931 W LOMBARD ST,HOLLINS MARKET,9,SOUTHERN,"(39.286611933099998, -76.633115326099997)",01/31/2013
1177 044,1525 E BIDDLE ST,GAY STREET,12,EASTERN,"(39.304020418199997, -76.596715362500007)",09/11/2012
3251 006,2810 REISTERSTOWN ROAD,LIBERTY SQUARE,7,NORTHWESTERN,"(39.320286067300003, -76.654354549000004)",10/10/2013
1459 048,1711 N CASTLE ST,BROADWAY EAST,12,EASTERN,"(39.3103620057, -76.589101564900005)",03/26/2012
0120 018,540 N FULTON AVE,HARLEM PARK,9,WESTERN,"(39.294876463599998, -76.645829289299996)",06/19/2012
3448 005,2108 MOUNT ROYAL TERR,RESERVOIR HILL,7,CENTRAL,"(39.313221432699997, -76.627042778200007)",07/23/2010
0299 004,1307 W NORTH AVE,DRUID HEIGHTS,7,CENTRAL,"(39.309992894799997, -76.638590597999993)",10/06/2008
4190 044,2839 ERDMAN AVE,BELAIR-EDISON,13,NORTHEASTERN,"(39.322638287899998, -76.575798651900001)",06/14/2013
0125 040,529 N CALHOUN ST,HARLEM PARK,9,WESTERN,"(39.294881926899997, -76.639593369500005)",03/12/2009
1754 136,207 S DURHAM ST,UPPER FELLS POINT,1,SOUTHEASTERN,"(39.289042326299999, -76.590836798599994)",01/15/2013
3000 004,3306 W NORTH AVE,WALBROOK,7,SOUTHWESTERN,"(39.309206360300003, -76.672963245700004)",10/08/2008
2169 058,2757 W FAIRMOUNT AVE,SHIPLEY HILL,9,SOUTHWESTERN,"(39.288341049400003, -76.660830698599995)",06/13/2012
1109 074,1601 E LAFAYETTE AVE,OLIVER,12,EASTERN,"(39.3104012497, -76.596487410799995)",03/27/2013
0062 010,1018 N STRICKER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.300533911599999, -76.641899912300005)",10/07/2008
3342 048,2523 SHIRLEY AVE,GREENSPRING,6,NORTHERN,"(39.335115625599997, -76.660530532999999)",07/31/2013
3410 003,1412 RETREAT ST,PENN NORTH,7,WESTERN,"(39.313122518100002, -76.641768197600001)",02/15/2008
3196 016,4632 REISTERSTOWN ROAD,LUCILLE PARK,6,NORTHWESTERN,"(39.340401641, -76.672568603299993)",06/01/2007
3312 020,4052 PARK HEIGHTS AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.335562465499997, -76.663710042100007)",06/24/2005
0431 062,1131 MYRTLE AVE,UPTON,11,CENTRAL,"(39.297850909099999, -76.630830097)",08/18/2009
2411 025,2935 WESTWOOD AVE,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,"(39.307898232500001, -76.667030349100003)",01/12/2006
4003 043,1901 OAK HILL AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.312064912899999, -76.605873985100004)",11/07/2008
3913 075,640 DUMBARTON AVE,PEN LUCY,4,NORTHERN,"(39.338320810699997, -76.605676070399994)",04/26/2013
1506 006,2610 E HOFFMAN ST,BEREA,13,EASTERN,"(39.307137235900001, -76.581003851999995)",10/14/2010
3210 079,1932 RIDGEHILL AVE,MONDAWMIN,7,WESTERN,"(39.311501708999998, -76.649150627400005)",07/19/2010
8211 007,3911 ELDERON AVE,WEST ARLINGTON,6,NORTHWESTERN,"(39.3413578117, -76.685102130399997)",06/20/2013
1658 079,521 N BELNORD AVE,MCELDERRY PARK,13,SOUTHEASTERN,"(39.297535601100002, -76.578486991700004)",11/30/2007
4607 073,3619 LUCILLE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.341928343299998, -76.674310726200005)",03/29/2008
0129 043,919 EDMONDSON AVE,HARLEM PARK,9,WESTERN,"(39.295404494000003, -76.633347301699999)",12/19/2006
0299 062,518 BAKER ST,DRUID HEIGHTS,7,CENTRAL,"(39.309667495100001, -76.638836780600002)",04/01/2008
1463 067,1725 N BRADFORD ST,BROADWAY EAST,13,EASTERN,"(39.310485529700003, -76.584948284199996)",09/29/2005
4179D122,3500 ERDMAN AVE,BELAIR-EDISON,13,NORTHEASTERN,"(39.318648027599998, -76.570136780499993)",09/30/2011
4003 032,1923 OAK HILL AVE,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.312488717400001, -76.605906913200002)",03/12/2008
0273 016,330 S PAYSON ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.283440909500001, -76.648640162999996)",09/29/2008
4019 031,511 E 22ND ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.314327709399997, -76.609083550700007)",07/06/2010
3228C016,2207 RUSKIN AVE,PARKVIEW/WOODBROOK,7,WESTERN,"(39.314982174000001, -76.647500941800004)",02/08/2013
0266B028,1254 GLYNDON AVE,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.2822068913, -76.636514178799999)",06/20/2013
0393 041A,1331 MYRTLE AVE,UPTON,11,CENTRAL,"(39.299587052200003, -76.632982638000001)",11/19/2007
5140A019,5603 GOVANE AVE,MID-GOVANS,4,NORTHERN,"(39.357893064899997, -76.606822419799997)",04/25/2013
1142B043,1316 HOMEWOOD AVE,JOHNSTON SQUARE,12,EASTERN,"(39.3056027728, -76.606882854000006)",05/12/2010
1122 034,1531 HOLBROOK ST,OLIVER,12,EASTERN,"(39.307787631899998, -76.602941553799994)",02/09/2007
1659 052,2802 JEFFERSON ST,MCELDERRY PARK,13,SOUTHEASTERN,"(39.297093986699998, -76.577454911100006)",12/03/2009
3408 021,1509 CLIFTON AVE,PENN NORTH,7,WESTERN,"(39.313625746699998, -76.643485759200004)",03/08/2007
0002 045,1817 N PAYSON ST,EASTERWOOD,7,WESTERN,"(39.309151976000003, -76.649587008500006)",05/17/2012
4511H096,5439 NELSON AVE,ARLINGTON,5,NORTHWESTERN,"(39.349503028599997, -76.6864524195)",06/18/2012
0414 049,1344 DIVISION ST,UPTON,11,CENTRAL,"(39.301696770100001, -76.630638059600003)",12/31/2012
1473 033,1622 N BRADFORD ST,BROADWAY EAST,13,EASTERN,"(39.3095975584, -76.585283311699996)",02/27/2009
3227 030,2114 N FULTON AVE,MONDAWMIN,7,WESTERN,"(39.312370526700001, -76.6468850495)",04/19/2006
5774 003A,3202 ECHODALE AVE,WALTHERSON,3,NORTHEASTERN,"(39.348534112899998, -76.560629504299996)",06/14/2013
7841 071,1905 GRINNALDS AVE,MORRELL PARK,10,SOUTHWESTERN,"(39.267216823399998, -76.650919478899993)",01/28/2011
1459 057,1706 N CASTLE ST,BROADWAY EAST,12,EASTERN,"(39.3102322194, -76.589612166099997)",06/13/2013
0164 084,223 N BRUCE ST,FRANKLIN SQUARE,9,WESTERN,"(39.291330257399999, -76.644516319499999)",11/06/2008
0376 007,1412 DRUID HILL AVE,UPTON,11,CENTRAL,"(39.302915813200002, -76.630102734600001)",10/29/2007
3327A047,3610 COTTAGE AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.330380740400003, -76.658453935099999)",11/04/2011
2439 014,1703 N ELLAMONT ST,ROSEMONT,7,SOUTHWESTERN,"(39.307474927599998, -76.670494325899995)",03/02/2012
1116 001,1424 E FEDERAL ST,OLIVER,12,EASTERN,"(39.308558293700003, -76.598926059700005)",03/12/2010
0003 040,1851 W NORTH AVE,SANDTOWN-WINCHESTER,7,WESTERN,"(39.309547645899997, -76.647950468299996)",11/30/2006
1621 061,706 N DUNCAN ST,MIDDLE EAST,13,EASTERN,"(39.299124948200003, -76.587393721799998)",02/29/2012
1473 090,2310 E FEDERAL ST,BROADWAY EAST,13,EASTERN,"(39.309108799500002, -76.584899985000007)",03/15/2013
0035 045,1378 N CALHOUN ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.305277075100001, -76.640733071599996)",11/10/2006
1714 032,163 N POTOMAC ST,PATTERSON PARK NEIGHBORHOOD,1,SOUTHEASTERN,"(39.294545898700001, -76.574682827700002)",08/08/2013
4581 027,5011 ELMER AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.346374692099999, -76.676896115800005)",12/19/2008
6770 049,1133 STEELTON AVE,GRACELAND PARK,1,SOUTHEASTERN,"(39.280461843399998, -76.535997463300006)",10/18/2012
0697 003,529 S SMALLWOOD ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.281321549399998, -76.650579412300004)",01/10/2013
3005 002,2802 W NORTH AVE,WALBROOK,7,SOUTHWESTERN,"(39.309458443799997, -76.664240484299995)",03/21/2011
1655 074,516 N PORT ST,MCELDERRY PARK,13,SOUTHEASTERN,"(39.2972601934, -76.5830729865)",04/26/2013
3212 034,2021 N SMALLWOOD ST,MONDAWMIN,7,WESTERN,"(39.311516475799998, -76.652574373999997)",07/22/2013
1450 065,1842 N COLLINGTON AVE,BROADWAY EAST,12,EASTERN,"(39.311841872499997, -76.587714992499997)",03/23/2009
0264 056,212 S CALHOUN ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.285186586800002, -76.639589078100002)",03/20/2012
2450 008,1515 N HILTON ST,ROSEMONT,9,SOUTHWESTERN,"(39.305617144300001, -76.671785194199998)",12/30/2011
1164B032,1127 N BOND ST,GAY STREET,12,EASTERN,"(39.3039859549, -76.596291373499994)",05/15/2009
1553 013,2224 E CHASE ST,MIDDLE EAST,13,EASTERN,"(39.303743944300003, -76.586232426699993)",06/12/2012
0037 018,1329 N CAREY ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.304227219200001, -76.638726611999999)",03/20/2012
2140 027,403 EAST LYNNE AVE,MILLHILL,9,SOUTHWESTERN,"(39.280658520400003, -76.658981491199995)",11/23/2010
0219 076,934 W LOMBARD ST,HOLLINS MARKET,9,SOUTHERN,"(39.286981170700003, -76.633140928100005)",01/31/2013
2446B059,2907 RIGGS AVE,FRANKLINTOWN ROAD,9,SOUTHWESTERN,"(39.299918096299997, -76.666090390500003)",02/28/2007
1513 007,1313 N BROADWAY,BROADWAY EAST,12,EASTERN,"(39.305706800599999, -76.594380029299998)",07/03/2008
1590 066,2306 ASHLAND AVE,MILTON-MONTFORD,13,EASTERN,"(39.301062970099998, -76.584676686700007)",06/24/2008
0063 021,1009 N STRICKER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.3003341199, -76.641336062999997)",11/25/2008
0106 110,604 N BRICE ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.295454282900003, -76.649953613799994)",06/03/2008
0196 042,1510 W BALTIMORE ST,FRANKLIN SQUARE,9,WESTERN,"(39.288597764199999, -76.641431632800007)",09/04/2013
0007 075,1709 N PAYSON ST,EASTERWOOD,7,WESTERN,"(39.3080683652, -76.6495269853)",05/02/2012
3453 002E,2475 CALLOW AVE,RESERVOIR HILL,7,CENTRAL,"(39.316341856900003, -76.631194053200005)",08/05/2010
7868B008,2345 WASHINGTON BLVD,MORRELL PARK,10,SOUTHWESTERN,"(39.268800656800003, -76.649674213400004)",11/16/2009
6291 029,136 S CLINTON ST,PATTERSON PARK NEIGHBORHOOD,1,SOUTHEASTERN,"(39.290319703800002, -76.570476471500001)",06/27/2013
2178 035A,330 S FRANKLINTOWN ROAD,SHIPLEY HILL,9,SOUTHWESTERN,"(39.283026049, -76.657672648299993)",03/03/2006
0339 006,1710 DRUID HILL AVE,UPTON,11,CENTRAL,"(39.3052186818, -76.632932713399995)",10/23/2008
1674 094,407 N GLOVER ST,MCELDERRY PARK,13,SOUTHEASTERN,"(39.296151014400003, -76.5798164614)",03/19/2010
1591 009,2416 E EAGER ST,MILTON-MONTFORD,13,EASTERN,"(39.301983993699999, -76.583462455000003)",11/12/2004
1590 058,902 N MONTFORD AVE,MILTON-MONTFORD,13,EASTERN,"(39.301047411200003, -76.584095811599994)",08/01/2006
1455 035,1663 N MILTON AVE,BEREA,13,EASTERN,"(39.310282652300003, -76.582570569699996)",08/12/2011
5173 062,543 CHATEAU AVE,WINSTON-GOVANS,4,NORTHERN,"(39.350529260599998, -76.607844972099997)",09/21/2012
1177 032,1125 N CAROLINE ST,GAY STREET,12,EASTERN,"(39.303887835799998, -76.5975468659)",03/20/2013
8230 002,4221 FERNHILL AVE,WEST ARLINGTON,6,NORTHWESTERN,"(39.337367754799999, -76.6913120257)",10/17/2007
1447 018,1835 RUTLAND AVE,BROADWAY EAST,12,EASTERN,"(39.311702644199997, -76.592771081199999)",06/08/2011
1138 103,1402 N BETHEL ST,OLIVER,12,EASTERN,"(39.306596496700003, -76.596176388700002)",11/07/2005
0189 017,33 N BENTALOU ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.288839835099999, -76.6526631216)",03/18/2013
2472 005,2937 W LANVALE ST,FRANKLINTOWN ROAD,9,SOUTHWESTERN,"(39.296907146700001, -76.666404744499999)",06/22/2010
1209 021,1441 E EAGER ST,GAY STREET,12,EASTERN,"(39.301539384599998, -76.598139176800004)",07/12/2013
1504 003,1405 N MONTFORD AVE,BROADWAY EAST,13,EASTERN,"(39.307250384, -76.583993202299993)",08/23/2007
3171 002,2903 ULMAN AVE,PARK CIRCLE,6,NORTHWESTERN,"(39.3281444705, -76.661352129299999)",09/23/2005
1587 140,917 N CASTLE ST,MIDDLE EAST,13,EASTERN,"(39.301324113699998, -76.588616957100001)",04/10/2013
1553 070,1101 N COLLINGTON AVE,MIDDLE EAST,13,EASTERN,"(39.303864230599999, -76.586726938599995)",05/20/2010
2475C001,3000 W LANVALE ST,FRANKLINTOWN ROAD,9,SOUTHWESTERN,"(39.297182221500002, -76.667242705999996)",06/29/2006
1144 044,1308 ENSOR ST,JOHNSTON SQUARE,12,EASTERN,"(39.305423127499999, -76.603912746099994)",07/06/2012
1592 060,917 N ROSE ST,MILTON-MONTFORD,13,EASTERN,"(39.301595794400001, -76.581562564899997)",12/06/2010
0207 054,8 S MONROE ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.287454232100004, -76.647138917000007)",06/23/2010
4020 012,722 E 21ST ST,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.313799330999998, -76.607723394299995)",04/16/2010
0012 076,1648 N MONROE ST,EASTERWOOD,7,WESTERN,"(39.307626968000001, -76.648285577300001)",11/21/2007
2548 007,20 S AUGUSTA AVE,IRVINGTON,8,SOUTHWESTERN,"(39.285375020399997, -76.685221751)",02/17/2011
1661 031,510 N ELLWOOD AVE,ELLWOOD PARK/MONUMENT,13,SOUTHEASTERN,"(39.2973467399, -76.573910540300005)",12/14/2012
2366 014,2506 MOSHER ST,BRIDGEVIEW/GREENLAWN,9,WESTERN,"(39.2997967425, -76.656902738799999)",05/18/2011
